Country,Year,New_cases,New_deaths
Kazakhstan,2021,872722.0,15516.0
Kazakhstan,2022,422357.0,872.0
Kazakhstan,2023,10984.0,15.0
Kazakhstan,2024,1165.0,0.0
Kazakhstan,2025,0.0,0.0
Kenya,2020,95843.0,1655.0
Kenya,2021,185515.0,3704.0
Kenya,2022,61112.0,329.0
Kenya,2023,1624.0,1.0
Kenya,2024,29.0,0.0
Kenya,2025,8.0,0.0
Kiribati,2020,0.0,0.0
Kiribati,2021,0.0,0.0
Kiribati,2022,3430.0,13.0
Kiribati,2023,1655.0,11.0
Kiribati,2024,0.0,0.0
Kiribati,2025,0.0,0.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),2020,50362.0,1295.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),2021,110922.0,1684.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),2022,110921.0,213.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),2023,2074.0,20.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),2024,0.0,0.0
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),2025,0.0,0.0
Kuwait,2020,149449.0,929.0
Kuwait,2021,265462.0,1539.0
Kuwait,2022,248007.0,102.0
Kuwait,2023,3668.0,0.0
Kuwait,2024,704.0,0.0
Kuwait,2025,0.0,0.0
Kyrgyzstan,2020,0.0,0.0
Kyrgyzstan,2021,68891.0,860.0
Kyrgyzstan,2022,19564.0,164.0
Kyrgyzstan,2023,488.0,0.0
Kyrgyzstan,2024,10.0,0.0
Kyrgyzstan,2025,0.0,0.0
Lao People's Democratic Republic,2020,41.0,0.0
Lao People's Democratic Republic,2021,106190.0,325.0
Lao People's Democratic Republic,2022,111411.0,346.0
Lao People's Democratic Republic,2023,1264.0,0.0
Lao People's Democratic Republic,2024,154.0,0.0
Lao People's Democratic Republic,2025,0.0,0.0
Latvia,2020,36330.0,632.0
Latvia,2021,235099.0,4183.0
Latvia,2022,699090.0,2196.0
Latvia,2023,7182.0,454.0
Latvia,2024,68.0,82.0
Latvia,2025,6.0,38.0
Lebanon,2020,169472.0,1379.0
Lebanon,2021,541787.0,7648.0
Lebanon,2022,510867.0,1717.0
Lebanon,2023,17778.0,203.0
Lebanon,2024,0.0,0.0
Lebanon,2025,0.0,0.0
Lesotho,2020,2577.0,64.0
Lesotho,2021,25605.0,601.0
Lesotho,2022,6308.0,41.0
Lesotho,2023,1648.0,3.0
Lesotho,2024,0.0,0.0
Lesotho,2025,0.0,0.0
Liberia,2020,1821.0,89.0
Liberia,2021,4407.0,198.0
